nama_kelurahan,SUSPEK,PROBABLE,PELAKU PERJALANAN,KONTAK ERAT,DISCARDED,POSITIF
PETOJO SELATAN,271,0,28,842,16,284
PETOJO UTARA,238,1,12,453,26,172
PETUKANGAN SELATAN,569,1,2,1057,9,280
PETUKANGAN UTARA,643,6,6,1769,10,386
PINANG RANTI,314,1,2,782,30,210
PINANGSIA,169,0,2,274,4,124
PISANGAN BARU,423,2,5,671,35,253
PISANGAN TIMUR,428,1,10,1282,33,291
PLUIT,583,0,13,1482,20,347
PONDOK BAMBU,1116,5,3,1398,38,525
PONDOK KELAPA,836,1,11,1454,29,504
PONDOK KOPI,526,0,2,583,17,280
PONDOK LABU,680,6,73,1292,37,268
PONDOK PINANG,755,0,44,1012,12,414
PONDOK RANGGON,330,1,3,543,22,226
PULAU HARAPAN,68,0,0,89,0,6
PULAU KELAPA,84,0,3,216,1,16
PULAU PANGGANG,179,0,0,179,4,30
PULAU PARI,13,0,0,202,1,7
PULAU TIDUNG,39,1,1,398,1,37
PULAU UNTUNG JAWA,25,0,0,112,0,5
PULO,309,1,1,236,0,64
PULO GADUNG,489,0,11,1024,43,316
PULO GEBANG,764,1,9,1627,72,526
RAGUNAN,996,1,2,888,25,288
RAMBUTAN,557,2,12,845,29,252
RAWA BADAK SELATAN,593,2,2,663,60,384
RAWA BADAK UTARA,547,0,2,630,96,291
RAWA BARAT,119,0,2,195,0,52
RAWA BUAYA,507,1,6,956,7,411
RAWA BUNGA,187,0,1,337,16,166
RAWA JATI,363,2,11,642,7,145
RAWA TERATE,194,0,2,459,9,203
RAWAMANGUN,432,1,9,1072,37,344
RAWASARI,852,7,10,1538,38,451
ROA MALAKA,43,1,0,48,2,16
ROROTAN,489,0,5,682,83,204
SELONG,100,0,3,153,3,29
SEMANAN,708,1,3,1314,9,306
SEMPER BARAT,940,3,12,1320,117,543
SEMPER TIMUR,521,1,4,785,58,285
SENAYAN,510,0,10,753,0,216
SENEN,226,1,8,789,26,173
SERDANG,536,0,5,870,32,327
SETIA BUDI,121,0,4,386,6,52
SETU,302,2,2,519,14,158
SLIPI,639,1,2,1114,43,343
SRENGSENG,671,1,6,1457,27,383
SRENGSENG SAWAH,989,8,11,1178,26,269
SUKABUMI SELATAN,396,1,1,819,25,256
SUKABUMI UTARA,462,0,20,929,46,306
SUKAPURA,731,0,6,1037,104,404
SUMUR BATU,474,2,6,662,33,252
SUNGAI BAMBU,471,0,7,750,44,245
SUNTER AGUNG,1157,4,23,2273,104,725
SUNTER JAYA,1074,1,10,1946,192,673
SUSUKAN,615,0,17,1436,69,230
TAMAN SARI,321,2,1,468,17,211
TAMBORA,229,1,1,339,3,117
TANAH SEREAL,316,1,4,308,5,190
TANAH TINGGI,541,5,6,1203,36,435
TANGKI,278,1,3,348,3,144
TANJUNG BARAT,791,1,2,693,13,314
TANJUNG DUREN SELATAN,493,0,19,776,24,357
TANJUNG DUREN UTARA,323,2,21,681,19,200
TANJUNG PRIOK,606,1,13,879,70,415
TEBET BARAT,545,2,8,747,24,359
TEBET TIMUR,438,0,6,615,35,233
TEGAL ALUR,837,0,7,1394,13,309
TEGAL PARANG,398,5,4,1122,12,350
TOMANG,534,0,15,852,86,349
TUGU SELATAN,518,0,2,529,91,344
TUGU UTARA,1062,3,8,1033,106,509
UJUNG MENTENG,206,1,1,543,30,150
ULUJAMI,640,0,0,1291,26,306
UTAN KAYU SELATAN,560,2,8,1018,95,333
UTAN KAYU UTARA,474,2,4,809,46,268
UTAN PANJANG,447,0,4,677,28,313
WARAKAS,658,0,11,1088,62,384
WIJAYA KUSUMA,458,1,7,940,23,320
